date,hour,occupied,start_available,price,occupied_start,comedy_event,concert,flights_cancelled,flights_cancelled_notice,large_event,national_holiday,school_holiday,show,sports,travel_disruption,travel_disruption_notice,weather,otb_today_hour,airport_open,last_hour
2014-04-01,0,1,140,67.0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,1,1,139,67.0,191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-01,2,0,138,64.0,191,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-01,3,0,138,66.0,191,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-01,4,1,138,64.0,191,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2014-04-01,5,1,137,71.0,191,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-01,6,0,136,65.0,191,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2014-04-01,7,1,136,68.0,191,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
2014-04-01,8,2,135,73.0,191,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
2014-04-01,9,3,133,71.0,191,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
2014-04-01,10,3,130,71.0,191,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
2014-04-01,11,1,127,79.0,191,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
2014-04-01,12,6,126,69.0,191,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
2014-04-01,13,3,120,73.0,191,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
2014-04-01,14,9,117,71.0,191,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
2014-04-01,15,1,108,72.0,191,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
2014-04-01,16,3,107,75.0,191,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
2014-04-01,17,5,104,76.0,191,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
2014-04-01,18,3,99,71.0,191,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
2014-04-01,19,7,96,100.0,191,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
2014-04-01,20,4,89,74.0,191,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
2014-04-01,21,6,85,71.0,191,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
2014-04-01,22,5,79,74.0,191,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
2014-04-01,23,10,74,78.0,191,0,0,0,0,0,0,0,0,0,0,0,0,66,0,1
2014-04-02,0,3,181,68.0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-02,1,1,178,67.0,159,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2014-04-02,2,1,177,71.0,159,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2014-04-02,3,1,176,70.0,159,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2014-04-02,4,1,175,69.0,159,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2014-04-02,5,0,174,71.0,159,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2014-04-02,6,1,174,69.0,159,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2014-04-02,7,1,173,69.0,159,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
2014-04-02,8,0,172,70.0,159,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
