is_uk,text
1,plessey to sell telephone system to colombia london march plessey co plc plyl said it had won amultimillion stg contract to supply colombia with the system xdigital telephone exchange the first major export contract forthe system company sources said the deal was worth about mln stgv a plessey statement said the contract awarded by thenational telecommunications authority of colombia was wonagainst competition from telefon l m ericsson ab nec corpfujitsu ltd and italtel of italy the award is regarded as a triumph for system x and abreakthrough in the south american market it said plessey said the contract was one of the largest awarded bytelecom colombia for the past years and involved supplying telephone exchanges including lines the award also includes transmission equipment for theinterconnection of the exchanges and the existing system the firm was actively marketing system x worldwide andcontract negotiations in certain countries had reached anadvanced stage it said plessey shares were down p at p having goneexdividend reuter
0,transform logic toog revises results downward scottsdale ariz march transform logic corp said ithas revised downward its previously reported fourth quarter andyear ended october results to reflect compensation expensefor employee stock options the company said resolution of this disagreement with itsauditors came as a result of securities and exchange commissioninvolvement the company will amend its optiongrantingprocedure to conform to the sec decision which will eliminatefuture charges it added transform said its fourth quarter profit was revised to dlrs or two cts a share from the previously reported dlrs which left the company with a fiscal loss of dlrs or two cts a share instead of the reported dlrs profit reuter
1,world crop weather summary usdanoaa washington march dry weather covered most europeancrop areas in the week ended march except for those insouthwestern france southern italy and greece the jointagricultural weather facility of the us agriculture andcommerce departments said in its international weather and crop sumary the agencysaid mixed rain and snow covered greece winter grains in england france and northern italyremained dormant grains usuaually break dormancy in march winter grains in eastern europe usually break dormancy inearly april it said showers improved irrigation supplies in winter wheat areasof northern pakistan and northern india it said normally wheat harvesting is well underwaty in centralindia and just beginnning to the north ending in most areas bylate april showers improved irrigation supplies in southern indiareversing februarys belownormal trend summer rice is usually in or nearing reproduction in mostsouthern areas it said in the philippines most rainfall was restricted to thecentral islands continuing februarys drying trend in luzonand southern mindanao locally heavy showers dotted indonesia and malaysia asrainfall generally decreased eastward through the islands in february locally heavy showers may have caused floodingin java it said the second cnsecutive week of dry weather stressed moroccanwinter grains approaching teh heading stage the agency said light to moderate rain spread from northern thailand tonorthern vietnam as dry weather prevailed elsewhere insoutheast asia dry weather covered winter grain areas in western andcentral algeria but soil moisture was likely adequate to meetcrop demands it said light showers in eastern algeria and tunisia maintainedadequate moisture for crop growth it said timely rains will be needed in the next several weeks aswinter grains advance through the critical reproductive phasethe agency said reuter
0,canada corn decision unjustified yeutter washington march us trade representative claytonyeutter said canadas finding announced today that us cornimports injure canadian farmers is totally unjustified us corn exports to canada are so small that it isinconceivable that they injure canadian corn farmers by anyreasonable measure yeutter said in a statement he said if other countries follow canadas lead it couldresult in a rash of protectionist actions throughout theworld french corn growers have recently indicated they willchallenge us corn gluten feed shipments to europe yeutter said the us will examine the canadian decisionclosely and if the us believes the decision was not based onfacts will carefully evaluate appropriate responses yeutterdid not say what steps the us may take in response reuter
1,opec president says output well below ceiling by judith matloff reuters london march opec conference president rilwanu lukmansaid the group was producing well below the mln bpdceiling it set in december partly because liftings had beendelayed or postponed by customers unwilling to pay fixed opecprices lukman during a brief visit to london on his way home fromjamaica told reuters in a telephone interview that infebruary opec had underproduced partly because members werestrictly abiding by production quotas and partly because theywere resisting the temptation to sell at discounts to officialprices of around dlrs a barrel we are determined to stand firm by the december accordhe said i have spoken to every other opec minister and theyare committed to making the accord work he said lukman gave no specific figures for february output hesaid the opec secretariat in vienna was finalizing thesefigures told of a reuters survey published today which estimatedthat opec output so far this week was below mln bpd hesaid that could well be correct opecs news agency opecna today issued a statement sayinggroup output was well below its ceiling in february but itgave no figures but one source close to opec indicated that february outputmay have been between and mln bpd the reuter survey estimated opec february output at around mln bpd opec agreed in december to cut output by pct to mln bpd and to return to fixed prices starting february lukman said qatar nigeria saudi arabia and iran had allproduced in february below their opec quotas iraq which saidit would not honour its mln bpd quota under the decemberpact had produced less than had been anticipated he said lukman said that some industry reports may be correct thatin february nigeria propuced bpd below its mln bpd quota saudi arabia bpd less than its mlnallocation and qatar to pct under its bpd quota he said that sweet crudes such as those produced by hiscountry were coming under price pressure because they werecurrently officially priced above sweet north sea grades andthe united states west texas intermediate wti crude however he said opec in december had anticipated thatdemand would be slack at this time of year for seasonal reasonsand expected the market to firm in two to three weeks we have to be patient for two or three weeks the market isnow firming on actual fundamentals he said adding that heexpected it to go up and up even beyond official prices afterearly april this is when traditionally there is more demandfor gasolinerich crudes such as nigerias the opec president said producers such as kuwait venezuelaand indonesia were having less problems with output thanproducers like his own country because they exported oilproducts also some of venezuelas heavy grades were outside the opecpricing system he said lukman said that if refinerbuyers now refusing to liftsome opec oil at official prices instead used their own stocksand ran them down to dangerous levels they would eventuallyhave to buy opec oil when they realise it is not a freeforall in the marketthey will realise they should buy now instead of paying morelater on he said lukman asked about industry reports that nigeria was beingpressured by equity producers for better terms said it wasimportant to know that terms with them were negotiableflexible and under constant review not only when the marketseemed weak he said that so far no meeting of the sevennationministerial differentials committee had been scheduled and thatsuch a meeting now twicepostponed was not a high priorityfor opec at the moment at this time we have to get our priorities right he saidthe most important thing now is ensuring that the accord isworking not dealing with a differential of cents betweengrades but if any opec member raised concerns or objections overthe differential system a meeting would be called he said reuter
1,uk may revoke japanese financial licenses by sten stovall reuters london march the british government may revoke thelicences of selected japanese banks and securities companiesoperating in londons financial city when they come up forrenewal next summer if progress is not made towards opening upjapans markets to foreign competition government sourcessaid we cant say yes we are going to do it revoke licencesbut this is definitely being considered an official said his comments came after the government was formally urgedtoday by a crosssection of influential mps to take jointretaliatory action with the united states against japan britain has grown increasingly impatient with japanesetrade practices theres a sense of urgency here now but theemphasis is on securing not undermining our interests injapan another government official told reuters prime minister margaret thatcher said on thursday thatbritain would not hesitate to use new powers contained in thefinancial services act and the banking bill to retaliateagainst countries that do not offer reciprocal market access she clearly had japan in mind government sources said the uk last year showed a trade defict with japan of billion stg official figures show a parliamentary motion signed by mps today urged theuk government to coordinate action with the president of theunited states and through the department of trade andindustry to suspend all further applications from japanesecommunications companies for equipment approval by the britishapprovals board for telecommunications and all furtherapplications from japanese financial institutions for licencesuntil authorities in japan stopped imposing what the mps calledrestrictive conditions on the bid by cable and wireless plccawll and its us and japanese partners for a stake injapans international telecommunications market the motion for retaliatory steps came from a crosssectionof mps reflecting the strength of feeling inside parliamentparliamentarians said their action would increase pressure onthe conservative government to take firm action officials said another option now being considered by theuk is to refuse issuing new banking licences to japaneseinstitutions that could be done under the governmentsproposed banking bill now moving through parliament japanese financial institutions are authorised to dealin london of which are banks in tokyo londonbasedfirms are authorised to do financial business officials said the new financial services and banking acts offer britainan alternative for retaliation which would be otherwise deniedunder legallybinding international trade agreements the financial services act gives trade and industrysecretary paul channon power to stop firms from engaging ininvestment banking and insurance one official said this point has been made to the japanese at official levela number times the official added britain and france are now working together to urge thatthe european community take collective action against japanbut by working within ec treaties another official said british trade minister alan clark said this week in a radiointerview that the european community should build barriersagainst japanese imports through certification proceduressimilar to those facing european exporters in japan there comes a point where you cannot resist any longer hesaid adding such barriers cant be put in place overnightclark said the issue of reciprocity regarding visible tradestrikes at the basis of whether british industry is to have afair access to an extremely large market japan which isitself in a very dominant position in certain aspects of ourown domestic market it is really a question of fairness the situation is only likely to worsen following news thatjapans trade surplus with the rest of the world rose by morethan pct in february yearonyear to billion dlrsfrom billion in january political sources said but clark said in his interview that the issues of visibletrade and access to financial markets should be kept separate should britain decide to act against japanese financialinstitutions it would most likely focus on the smaller ratherthan larger ones to minimise any risks to its role as a globalbusiness centre government sources said japans four largestsecurities houses are members of the london stock exchange in washington white house officials said president reaganwas ready to impose retaliatory trade action against japan forbreaking its semiconductor agreement with the united states there was no immediate indication when reagan might act onthe recommendations of his economic policy council to curbjapanese exports to the united states but officials said themove could come today or early next week trade sources said the actions being weighed by reaganincluded tariffs on a wide variety of japanese exports whichuse semiconductors reuter
0,foxboro co fox th qtr loss foxboro mass march oper shr loss one ct vs loss dlrs oper net loss vs loss mln revs mln vs mln mths oper shr profit cts vs loss dlrs oper net profit vs loss mln revs mln vs mln note oper net excludes tax credits of dlrsfor qtr and dlrs for mths includes restructuringcharges of mln dlrs for qtr mln dlrs for mths reuter
0,five groups apply to buy french telephone group paris march five consortia have applied to buy thefrench stateowned telephone equipment manufacturer ciegenerale de constructions telephoniques cgct which willgive the owners control of pct of the french telephoneswitching market sources close to finance minister edouardballadur said the french government has given itself until the end ofapril to decide which applicant will be accepted they added while several foreign groups have said they want to gain afoothold in the french market their potential stake in cgct islimited to pct under privatisation laws passed last yearwith pct to be left in french hands the finance ministry sources gave no details of the groupsinterested in cgct but several have publicly announced theircandidacies us telecommunications giant american telephone andtelegraph co tn which has been at the centre of the twoyearbattle for cgct has teamed up with the dutchbased philipstelecommunications industrie bv a subsidiary of nv philipsgloeilampenfabriek pgloas and societe anonyme detelecommunications sat to present a joint bid inassociation with holding company cie du midi sa mcdpp andfive french investment funds a second bid has come from the west german electronicsgroup siemens ag siegf which hopes to take a pct stakein cgct with the french telecommunications jeumontschneidertaking the remaining pct swedens ab lm ericsson has also submitted a bid for themaximum pct permitted in association with french defenceelectronics group matra which would hold between and pct and construction group bouygues matra has already acquired cgcts private telephonebusinessreuter
1,uk intervention board details ec sugar sales london march a total tonnes of current serieswhite sugar received export rebates of a maximum european currency units ecus per kilos at todayseuropean community ec tender the uk intervention boardsaid out of this traders in the uk received tonnes inthe netherlands in denmark and in west germany tonnes earlier today london and paris traders said they expectedthe subsidy for the current season whites campaign for licencesto endjuly to be between and ecus per kilos they had also forecast todays total authorised sugartonnage export awards to be between and tonnesversus last week when the restitution was ecus reuter
0,patrick petroleum co ppc year loss jackson mich march shr loss dlrs vs profit cts net loss vs profit revs vs mln avg shrs vs note current year includes tax credit of dlrs reuter
