"hotel";"date";"price"
"Citadines Barbican";"2017-07-10";150
"Citadines Barbican";"2017-07-12";312
"Citadines Barbican";"2017-07-14";150
"Citadines Barbican";"2017-07-15";150
"Citadines Barbican";"2017-07-16";120
"Citadines Barbican";"2017-07-17";215
"Citadines Barbican";"2017-07-19";252
"Citadines Barbican";"2017-07-20";150
"Courtyard";"2017-01-09";75
"Courtyard";"2017-01-11";85
"Courtyard";"2017-01-11";85
"Courtyard";"2017-01-14";75
"Courtyard";"2017-01-15";75
"Courtyard";"2017-01-16";70
"Courtyard";"2017-01-17";75
"Courtyard";"2017-01-18";110
"Courtyard";"2017-01-19";75
"Courtyard";"2017-01-20";90
"Courtyard";"2017-01-25";130
"Courtyard";"2017-01-26";85
"Courtyard";"2017-01-27";80
"Courtyard";"2017-01-28";70
"Courtyard";"2017-01-29";70
"Courtyard";"2017-01-30";70
"Courtyard";"2017-01-31";85
"Courtyard";"2017-02-01";120
"Courtyard";"2017-02-02";105
"Courtyard";"2017-02-03";70
"Courtyard";"2017-02-04";80
"Courtyard";"2017-02-05";75
"Courtyard";"2017-02-06";75
"Courtyard";"2017-02-07";100
"Courtyard";"2017-02-10";75
"Courtyard";"2017-02-11";90
"Courtyard";"2017-02-13";75
"Courtyard";"2017-02-14";80
"Courtyard";"2017-02-15";120
"Courtyard";"2017-02-16";95
"Courtyard";"2017-02-18";80
"Courtyard";"2017-02-19";75
"Courtyard";"2017-02-20";120
"Courtyard";"2017-02-21";85
"Courtyard";"2017-02-22";100
"Courtyard";"2017-02-24";95
"Courtyard";"2017-02-25";90
"Courtyard";"2017-02-26";75
"Courtyard";"2017-02-27";85
"Courtyard";"2017-02-28";95
"Courtyard";"2017-02-28";95
"Courtyard";"2017-03-01";95
"Courtyard";"2017-03-02";100
"Courtyard";"2017-03-03";90
"Courtyard";"2017-03-04";90
"Courtyard";"2017-03-05";75
"Courtyard";"2017-03-06";85
"Courtyard";"2017-03-08";115
"Courtyard";"2017-03-10";80
"Courtyard";"2017-03-11";75
"Courtyard";"2017-03-12";75
"Courtyard";"2017-03-13";100
"Courtyard";"2017-03-14";120
"Courtyard";"2017-03-15";130
"Courtyard";"2017-03-16";90
"Courtyard";"2017-03-17";80
"Courtyard";"2017-03-18";75
"Courtyard";"2017-03-19";75
"Courtyard";"2017-03-20";80
"Courtyard";"2017-03-22";90
"Courtyard";"2017-03-23";75
"Courtyard";"2017-03-24";70
"Courtyard";"2017-03-25";70
"Courtyard";"2017-03-26";70
"Courtyard";"2017-03-27";85
"Courtyard";"2017-03-28";85
"Courtyard";"2017-03-29";80
"Courtyard";"2017-03-30";80
"Courtyard";"2017-03-31";95
"Courtyard";"2017-04-01";80
"Courtyard";"2017-04-02";75
"Courtyard";"2017-04-03";90
"Courtyard";"2017-04-04";110
"Courtyard";"2017-04-05";110
"Courtyard";"2017-04-06";90
"Courtyard";"2017-04-07";95
"Courtyard";"2017-04-09";80
"Courtyard";"2017-04-10";100
"Courtyard";"2017-04-11";95
"Courtyard";"2017-04-12";90
"Courtyard";"2017-04-13";85
"Courtyard";"2017-04-14";85
"Courtyard";"2017-04-15";90
"Courtyard";"2017-04-16";75
"Courtyard";"2017-04-17";85
"Courtyard";"2017-04-18";85
"Courtyard";"2017-04-19";90
"Courtyard";"2017-04-20";85
"Courtyard";"2017-04-21";85
"Courtyard";"2017-04-22";90
"Courtyard";"2017-04-23";100
"Courtyard";"2017-04-24";145
"Courtyard";"2017-04-27";125
"Courtyard";"2017-04-28";85
"Courtyard";"2017-05-04";85
"Courtyard";"2017-05-05";100
"Courtyard";"2017-05-06";85
"Courtyard";"2017-05-07";100
"Courtyard";"2017-05-09";155
"Courtyard";"2017-05-13";100
"Courtyard";"2017-05-16";145
"Courtyard";"2017-05-18";95
"Courtyard";"2017-05-19";90
"Courtyard";"2017-05-20";105
"Courtyard";"2017-06-02";115
"Courtyard";"2017-06-08";120
"Courtyard";"2017-06-09";105
"Courtyard";"2017-06-09";105
"Courtyard";"2017-06-10";95
"Courtyard";"2017-06-10";95
"Courtyard";"2017-06-11";90
"Courtyard";"2017-06-11";90
"Courtyard";"2017-06-12";110
"Courtyard";"2017-06-13";130
"Courtyard";"2017-06-14";140
"Courtyard";"2017-06-15";140
"Courtyard";"2017-06-16";140
"Courtyard";"2017-06-17";120
"Courtyard";"2017-06-18";120
"Courtyard";"2017-06-19";120
"Courtyard";"2017-06-20";140
"Courtyard";"2017-06-21";160
"Courtyard";"2017-06-23";90
"Courtyard";"2017-06-24";120
"Courtyard";"2017-06-25";95
"Courtyard";"2017-06-26";120
"Courtyard";"2017-06-27";150
"Courtyard";"2017-06-29";165
"Courtyard";"2017-06-30";160
"Courtyard";"2017-07-02";130
"Courtyard";"2017-07-03";155
"Courtyard";"2017-07-04";130
"Courtyard";"2017-07-05";130
"Courtyard";"2017-07-06";135
"Courtyard";"2017-07-07";100
"Courtyard";"2017-07-08";115
"Courtyard";"2017-07-10";120
"Courtyard";"2017-07-11";120
"Courtyard";"2017-07-12";140
"Courtyard";"2017-07-13";105
"Courtyard";"2017-07-14";90
"Courtyard";"2017-07-15";105
"Courtyard";"2017-07-16";115
"Courtyard";"2017-07-17";100
"Courtyard";"2017-07-18";120
"Courtyard";"2017-07-19";175
"Courtyard";"2017-07-20";95
"Courtyard";"2017-07-21";100
"Courtyard";"2017-07-22";90
"Courtyard";"2017-07-24";110
"Courtyard";"2017-07-25";160
"Courtyard";"2017-07-26";130
"Courtyard";"2017-07-27";105
"Courtyard";"2017-07-28";120
"Courtyard";"2017-07-29";140
"Courtyard";"2017-07-30";90
"Courtyard";"2017-07-31";100
"Courtyard";"2017-08-01";120
"Courtyard";"2017-08-02";115
"Courtyard";"2017-08-03";85
"Courtyard";"2017-08-04";100
"Courtyard";"2017-08-06";90
"Courtyard";"2017-08-07";100
"Courtyard";"2017-08-08";115
"Courtyard";"2017-08-09";115
"Courtyard";"2017-08-10";95
"Courtyard";"2017-08-11";85
"Courtyard";"2017-08-12";135
"Courtyard";"2017-08-13";85
"Courtyard";"2017-08-14";105
"Courtyard";"2017-08-15";115
"Courtyard";"2017-08-16";115
"Courtyard";"2017-08-17";90
"Courtyard";"2017-08-18";90
"Courtyard";"2017-08-19";95
"Courtyard";"2017-08-20";90
"Courtyard";"2017-08-21";95
"Courtyard";"2017-08-22";115
"Courtyard";"2017-08-23";140
"Courtyard";"2017-08-25";100
"Courtyard";"2017-08-26";110
"Courtyard";"2017-08-27";80
"Courtyard";"2017-08-28";95
"Courtyard";"2017-08-29";105
"Courtyard";"2017-08-30";105
"Courtyard";"2017-08-31";125
"Courtyard";"2017-09-01";105
"Courtyard";"2017-09-02";105
"Courtyard";"2017-09-03";105
"Courtyard";"2017-09-04";170
"Courtyard";"2017-09-05";125
"Courtyard";"2017-09-06";170
"Courtyard";"2017-09-07";125
"Courtyard";"2017-09-08";120
"Courtyard";"2017-09-09";130
"Courtyard";"2017-09-10";160
"Courtyard";"2017-09-11";215
"Courtyard";"2017-09-12";250
"Courtyard";"2017-09-13";245
"Courtyard";"2017-09-14";195
"Courtyard";"2017-09-15";135
"Courtyard";"2017-09-16";135
"Courtyard";"2017-09-17";115
"Courtyard";"2017-09-18";160
"Courtyard";"2017-09-19";190
"Courtyard";"2017-09-22";145
"Courtyard";"2017-09-23";135
"Courtyard";"2017-09-24";105
"Courtyard";"2017-09-25";150
"Courtyard";"2017-09-26";150
"Courtyard";"2017-09-27";160
"Courtyard";"2017-09-28";115
"Courtyard";"2017-09-30";145
"Courtyard";"2017-10-01";140
"Courtyard";"2017-10-02";195
"Courtyard";"2017-10-05";210
"Courtyard";"2017-10-06";250
"Courtyard";"2017-10-07";195
"Courtyard";"2017-10-08";235
"Courtyard";"2017-10-09";250
"Courtyard";"2017-10-10";235
"Courtyard";"2017-10-12";140
"Courtyard";"2017-10-13";165
"Courtyard";"2017-10-14";145
"Courtyard";"2017-10-15";165
"Courtyard";"2017-10-16";145
"Courtyard";"2017-10-17";130
"Courtyard";"2017-10-18";155
"Courtyard";"2017-10-19";140
"Courtyard";"2017-10-20";125
"Courtyard";"2017-10-28";80
"Courtyard";"2017-10-29";85
"Courtyard";"2017-10-30";100
"Courtyard";"2017-10-31";135
"Courtyard";"2017-11-01";120
"Courtyard";"2017-11-02";115
"Courtyard";"2017-11-03";85
"Courtyard";"2017-11-04";90
"Courtyard";"2017-11-05";100
"Courtyard";"2017-11-06";120
"Courtyard";"2017-11-07";125
"Courtyard";"2017-11-08";140
"Courtyard";"2017-11-09";100
"Courtyard";"2017-11-10";80
"Courtyard";"2017-11-11";75
"Courtyard";"2017-11-12";100
"Courtyard";"2017-11-13";95
"Courtyard";"2017-11-14";110
"Courtyard";"2017-11-15";110
"Courtyard";"2017-11-16";145
"Courtyard";"2017-11-17";75
"Courtyard";"2017-11-18";75
"Courtyard";"2017-11-19";80
"Courtyard";"2017-11-20";80
"Courtyard";"2017-11-21";90
"Courtyard";"2017-11-22";125
"Courtyard";"2017-11-23";75
"Courtyard";"2017-11-24";70
"Courtyard";"2017-11-25";75
"Courtyard";"2017-11-26";75
"Courtyard";"2017-11-27";90
"Courtyard";"2017-11-28";95
"Courtyard";"2017-11-29";95
"Courtyard";"2017-11-30";95
"Courtyard";"2017-12-01";80
"Courtyard";"2017-12-02";85
"Courtyard";"2017-12-03";80
"Courtyard";"2017-12-04";90
"Courtyard";"2017-12-05";80
"Courtyard";"2017-12-06";100
"Courtyard";"2017-12-07";85
"Courtyard";"2017-12-08";80
"Courtyard";"2017-12-09";85
"Courtyard";"2017-12-10";75
"Courtyard";"2017-12-11";80
"Courtyard";"2017-12-12";110
"Courtyard";"2017-12-13";130
"Courtyard";"2017-12-14";95
"Courtyard";"2017-12-15";85
"Courtyard";"2017-12-16";80
"Courtyard";"2017-12-17";80
"Courtyard";"2017-12-18";80
"Courtyard";"2017-12-19";110
"Courtyard";"2017-12-20";90
"Courtyard";"2017-12-21";105
"Courtyard";"2017-12-22";105
"Courtyard";"2017-12-23";80
"Courtyard";"2017-12-24";70
"Courtyard";"2017-12-25";70
"Courtyard";"2017-12-26";75
"Courtyard";"2017-12-27";90
"Courtyard";"2017-12-28";80
"Courtyard";"2017-12-29";90
"Courtyard";"2017-12-30";75
"Courtyard";"2017-12-31";70
"Courtyard";"2018-01-01";75
"Courtyard";"2018-01-02";80
"Courtyard";"2018-01-03";90
"Courtyard";"2018-01-04";70
"Courtyard";"2018-01-05";90
"Courtyard";"2018-01-06";75
"Courtyard";"2018-01-07";70
"Courtyard";"2018-01-08";80
"Courtyard";"2018-01-09";90
"Courtyard";"2018-01-13";70
"Courtyard";"2018-01-14";75
"Courtyard";"2018-01-15";80
"Courtyard";"2018-01-16";95
"Courtyard";"2018-01-17";100
"Courtyard";"2018-01-18";75
"Courtyard";"2018-01-19";85
"Courtyard";"2018-01-20";70
"Courtyard";"2018-01-22";80
"Courtyard";"2018-01-23";75
"Courtyard";"2018-01-24";75
"Courtyard";"2018-01-25";90
"Courtyard";"2018-01-26";80
"Courtyard";"2018-01-27";70
"Courtyard";"2018-01-29";85
"Courtyard";"2018-01-30";75
"Courtyard";"2018-01-31";90
"Courtyard";"2018-02-01";80
"Courtyard";"2018-02-02";80
"Courtyard";"2018-02-03";70
"Courtyard";"2018-02-05";75
"Courtyard";"2018-02-06";100
"Courtyard";"2018-02-07";100
"Courtyard";"2018-02-08";90
"Courtyard";"2018-02-09";90
"Courtyard";"2018-02-10";80
"Courtyard";"2018-02-11";70
"Courtyard";"2018-02-12";85
"Courtyard";"2018-02-13";80
"Courtyard";"2018-02-14";100
"Courtyard";"2018-02-15";80
"Courtyard";"2018-02-16";100
"Courtyard";"2018-02-17";115
"Courtyard";"2018-02-18";75
"Courtyard";"2018-02-19";90
"Courtyard";"2018-02-20";110
"Courtyard";"2018-02-21";105
"Courtyard";"2018-02-22";105
"Courtyard";"2018-02-23";100
"Courtyard";"2018-02-24";90
"Courtyard";"2018-02-25";80
"Courtyard";"2018-02-26";145
"Courtyard";"2018-02-27";195
"Courtyard";"2018-03-03";180
"Courtyard";"2018-03-04";110
"Courtyard";"2018-03-05";130
"Courtyard";"2018-03-06";110
"Courtyard";"2018-03-07";120
"Courtyard";"2018-03-08";95
"Courtyard";"2018-03-09";105
"Courtyard";"2018-03-10";90
"Courtyard";"2018-03-11";90
"Courtyard";"2018-03-12";100
"Courtyard";"2018-03-13";110
"Courtyard";"2018-03-15";95
"Courtyard";"2018-03-16";90
"Courtyard";"2018-03-17";120
"Courtyard";"2018-03-18";100
"Courtyard";"2018-03-19";110
"Courtyard";"2018-03-20";115
"Courtyard";"2018-03-21";135
"Courtyard";"2018-03-22";115
"Courtyard";"2018-03-24";120
"Courtyard";"2018-03-25";80
"Courtyard";"2018-03-26";80
"Courtyard";"2018-03-27";100
"Courtyard";"2018-03-28";100
"Courtyard";"2018-03-29";80
"Courtyard";"2018-03-30";85
"Courtyard";"2018-03-31";85
"Courtyard";"2018-04-01";70
"Courtyard";"2018-04-03";85
"Courtyard";"2018-04-04";95
"Courtyard";"2018-04-05";80
"Courtyard";"2018-04-10";100
"Courtyard";"2018-04-11";125
"Courtyard";"2018-04-12";80
"Courtyard";"2018-04-13";90
"Courtyard";"2018-04-14";95
"Courtyard";"2018-04-15";80
"Courtyard";"2018-04-16";115
"Courtyard";"2018-04-18";130
"Courtyard";"2018-04-19";120
"Courtyard";"2018-04-20";90
"Courtyard";"2018-04-21";85
"Courtyard";"2018-04-22";90
"Courtyard";"2018-04-23";85
"Courtyard";"2018-04-24";130
"Courtyard";"2018-04-25";185
"Courtyard";"2018-04-26";130
"Courtyard";"2018-04-27";105
"Courtyard";"2018-04-29";90
"Courtyard";"2018-04-30";150
"Courtyard";"2018-05-01";130
"Courtyard";"2018-05-02";140
"Courtyard";"2018-05-03";110
"Courtyard";"2018-05-04";110
"Courtyard";"2018-05-05";95
"Courtyard";"2018-05-06";105
"Courtyard";"2018-05-07";105
"Courtyard";"2018-05-08";115
"Courtyard";"2018-05-09";115
"Courtyard";"2018-05-10";105
"Courtyard";"2018-05-11";95
"Courtyard";"2018-05-12";120
"Courtyard";"2018-05-13";130
"Courtyard";"2018-05-14";155
"Courtyard";"2018-05-15";175
"Courtyard";"2018-05-16";200
"Courtyard";"2018-05-17";155
"Courtyard";"2018-05-18";95
"Courtyard";"2018-05-19";125
"Courtyard";"2018-05-20";95
"Courtyard";"2018-05-21";110
"Courtyard";"2018-05-22";200
"Courtyard";"2018-05-23";240
"Courtyard";"2018-05-24";205
"Courtyard";"2018-05-25";115
"Courtyard";"2018-05-26";190
"Courtyard";"2018-05-27";100
"Courtyard";"2018-05-29";100
"Courtyard";"2018-05-30";140
"Courtyard";"2018-05-31";125
"Courtyard";"2018-06-01";100
"Courtyard";"2018-06-02";130
"Courtyard";"2018-06-03";100
"Courtyard";"2018-06-04";110
"Courtyard";"2018-06-05";195
"Courtyard";"2018-06-06";245
"Courtyard";"2018-06-07";100
"Courtyard";"2018-06-08";145
"Courtyard";"2018-06-09";110
"Courtyard";"2018-06-11";125
"Courtyard";"2018-06-13";185
"Courtyard";"2018-06-14";120
"Courtyard";"2018-06-15";150
"Courtyard";"2018-06-16";145
"Courtyard";"2018-06-17";140
"Courtyard";"2018-06-18";190
"Courtyard";"2018-06-19";205
"Courtyard";"2018-06-21";150
"Courtyard";"2018-06-22";120
"Courtyard";"2018-06-23";215
"Courtyard";"2018-06-24";135
"Courtyard";"2018-06-25";140
"Courtyard";"2018-06-26";225
"Courtyard";"2018-06-27";180
"Courtyard";"2018-06-30";190
"Courtyard";"2018-07-01";130
"Courtyard";"2018-07-03";210
"Courtyard";"2018-07-04";255
"Courtyard";"2018-07-05";165
"Courtyard";"2018-07-06";115
"Courtyard";"2018-07-07";130
"Courtyard";"2018-07-08";140
"Courtyard";"2018-07-09";180
"Courtyard";"2018-07-10";175
"Courtyard";"2018-07-12";100
"Courtyard";"2018-07-13";130
"Courtyard";"2018-07-14";155
"Courtyard";"2018-07-15";100
"Courtyard";"2018-07-16";120
"Courtyard";"2018-07-18";155
"Courtyard";"2018-07-19";120
"Courtyard";"2018-07-20";95
"Courtyard";"2018-07-21";100
"Courtyard";"2018-07-22";110
"Courtyard";"2018-07-23";110
"Courtyard";"2018-07-24";145
"Courtyard";"2018-07-26";95
"Courtyard";"2018-07-27";95
"Courtyard";"2018-07-28";140
"Courtyard";"2018-07-30";100
"Courtyard";"2018-07-31";125
"Courtyard";"2018-08-01";135
"Courtyard";"2018-08-02";125
"Courtyard";"2018-08-04";130
"Courtyard";"2018-08-05";90
"Courtyard";"2018-08-06";100
"Courtyard";"2018-08-07";120
"Courtyard";"2018-08-10";100
"Courtyard";"2018-08-11";110
"Courtyard";"2018-08-12";90
"Courtyard";"2018-08-13";95
"Courtyard";"2018-08-14";130
"Courtyard";"2018-08-15";140
"Courtyard";"2018-08-16";90
"Courtyard";"2018-08-17";105
"Courtyard";"2018-08-18";90
"Courtyard";"2018-08-19";90
"Courtyard";"2018-08-20";105
"Courtyard";"2018-08-21";110
"Courtyard";"2018-08-23";85
"Courtyard";"2018-08-24";105
"Courtyard";"2018-08-25";110
"Courtyard";"2018-08-26";85
"Courtyard";"2018-08-27";85
"Courtyard";"2018-08-28";90
"Courtyard";"2018-08-30";90
"Courtyard";"2018-08-31";120
