is_uk,text
1,precious metals climate improving says montagu london april the climate for precious metals isimproving with prices benefiting from renewed inflation fearsand the switching of funds from dollar and stock marketsbrokers samuel montagu and co ltd said silver prices in march gained some pct in dlr terms dueto a weak dollar and silver is felt to be fairly cheap relativeto gold montagu said in its monthly silver newsletter inmarch the goldsilver ratio narrowed from to less than the supplydemand position has improved in the past yearand despite a silver market surplus the quantity of silver ismodest enough to be absorbed by investors it added the report said the firmness in oil prices was likely tocontinue in the short term a period of consolidation might be necessary before pricesattempted to move significantly higherit said but so long asthe dollar remains under pressure then the outlook for silverwas positive however silver was less likely to continue to outpace theother metals by such a margin montagu said reuter
0,mannesmann seeks stake in us firm duesseldorf march mannesmann ag mmwgf thediversified engineering and pipemaking group is interested intaking a stake in a us company or companies but has not yetfound a suitable firm a spokesman said in reply to questions mannesmann managing board chairman werner dieter told thebusiness weekly wirtschaftswoche in an interview thatmannesmann wanted to invest in a us company in order tostrengthen its presence on the us market dieter said mannesmann would act quickly when and if itfound a firm in which it wanted to take a stake the mannesmann spokesman declined to say in whichindustrial sector the group may make a us acquisition or howbig the acquisition might be he also said the group had not yet completed taking over astake in car components firm fichtel und sachs ag mannesmann had said in january it hoped to take a pctstake in fichtel und sachss holding company sachs ag in thefirst quarter the spokesman said mannesmann had a letter ofintent on the takeover from the heirs of the companys lateowner but completion has been delayed by legal questionsconcerning the inheritance reuter
0,iea says opec february crude output mln bpd paris march opec produced an average mln barrelsper day bpd of crude oil in february down from mln theprevious month and an overall mln bpd in fourth quarter the international energy agency said a few opec countries last month exceeded the productionquotas set at their last conference in december but liftingswere reduced from several countries it said in its latestmonthly oil market report these cutbacks were due in part to buyer resistance tofixed prices introduced from february particularly forfixed volumes over an extended period it gave this breakdown for opec crude output in mln bpd fourth qtr january february saudi arabia iran iraq uae kuwait neutral zone qatar nigeria libya fourth qtr january february algeria gabon venezuela ecuador indonesia total the iea said while saudi production stayed below its quotaof mln bpd actual sales might exceed output due tonorbec stock disposals contracts for saudi crude have beensigned but it is understood they have much leeway in requiredliftings the report said the reduction in iraqi air attacks oniranian export facilities allowed irans output to reach mln bpd in january but buyer resistance to fixed pricesapparently cut february production it said iraqi exports are about mln bpd through theturkish pipeline mln by truck through jordan and mln via the saudi pipeline to yanbu internalconsumption is some mln bpd the iea estimated total noncommunist world oil supply infebruary at mln bpd down from mln in january and mln in the fourth quarter the february world supply figure is made up of mln bpdopec crude production mln bpd opec natural gas liquidsngls mln bpd oecd crude and ngls mln bpd otherdeveloping countries crude and ngls net trade of mln bpdwith centrally planned economies mln bpd ofnonconventional crudes such as tar sands and oil from coaland mln bpd from processiing gains within the oecd preliminary norwegian data show record mln bpd output in january with lower production expectedin february in accordance with government curtailments ofapproximately bpd announced in support of opec reuter
1,merrill lynch uk executive charged by sec new york march the us securities and exchangecommission said it charged a managing director ofmerrill lynch pierce fenner and smith ltd in london withmasterminding a massive insider trading scheme nahum vaskevitch managing director of the mergers andacquisitions department of the brokers london office wascharged in a civil complaint by the sec filed in manhattanfederal court the complaint said vaskevitch leaked information about companies involved in a merger or acquisition which resulted inmore than four mln dlrs in profit for himself and othersinvolved in the scheme merrill lynch pierce fenner and smith is a subsidiary ofmerrill lynch and co inc reuter
1,ec wheat release unlikely to satisfy uk demand by kenneth brettell reuters london april the european commissions decision torelease an additional tonnes of british interventionfeed wheat for the home market will provide only moderaterelief in an increasingly tight market traders said some operators had been anticipating a larger tonnagepointing out that at this weeks uk intervention tender themarket sought to buy tonnes but only tonneswere granted the new tranche of intervention grain is unlikely tosatisfy demand they said and keen buying competition forsupplies in stores is expected to keep prices firm the release of the feed wheat followed recent strongrepresentations by the uk grain trade to the commissionthere has been growing concern that rising internal pricestriggered by heavy exports were creating areas of shortage ininterior markets the latest ec authorisation will add tonnes at theapril tender and a further tonnes later in the monththe remaining tonnes will be made available in may andjune news of the release produced an early downward reaction inlocal physical markets but by midday some sections had halvedearly two stg losses while others were unchanged ministry of agriculture figures for march indicate mlntonnes of wheat and mln tonnes of barley remain in thefree market however some traders believe these figures areoverstated and while some may still be held on the farm thebulk of wheat is already sold some of the grain is also offthe market in futures stores a total of mln tonnes of intervention wheat has beensold for export or to the home market since the season startedjuly leaving an unsold balance in intervention of about mln tonnes intervention barley sales have reached just over mlntonnes leaving about tonnes traders said this seasons uk export performance has surpassed allearly expectations and has created the present nervoussituation in domestic markets where the fear now is free marketsupplies may not last out until new crop becomes available inaugust the market is sticking to its recent prediction of totalbarley and wheat exports of around mln tonnes a newrecord and nearly double the previous record of mln tonnesachieved in the season traders expect uk wheat exports to reach mln andbarley around mln tonnes the soviet union has booked a record total of mlntonnes of british wheat and barley this season but only mln had surfaced in customs export figures by march traderssaid other ec countries have bought large amounts of britishgrain and for the july march period had taken mlntonnes of wheat and mln tonnes of barley this compareswith mln and tonnes last season the market is expecting prices particularly wheat to staybuoyant for the remaining few months of the season if suppliesbecome more difficult and prices strengthen further feedcompounders may increase cereal substitute usage traders said reuter
0,ussr wheat bonus offer said still under debate washington march the reagan administration continuesto debate whether to offer subsidized wheat to the sovietunion but would need assurances from the soviets that theywould buy the wheat before the subsidy offer would be made asenior us agriculture department official said i think it still is under active debate whether or not itwould be advisable to make an the export enhancement offer tothe soviets thomas kay administrator of the departmentsforeign agriculture service told reuters wed need some assurances from them the soviets that theywould buy if offered the wheat under the subsidy plan he saidkay called reports that such an offer was imminent premature the reagan administrations cabinetlevel economic policycouncil is set to meet today to discuss among other mattersagricultural policy but is not expected to address a wheatsubsidy offer to the soviet union administration officialssaid earlier reuter
1,economic spotlight ems marks eighth birthday by tony carritt reuters brussels march the european monetary system marks itseighth anniversary still vulnerable to turmoil in world moneymarkets despite creating an island of currency rate stabilityin europe economists say but many economists say the systemwhich holds eight european community currencies within narrowfluctuation bands remains in its infancy its new currency the european currency unit ecu hasbeen a runaway success with investors and borrowers alikeseeking an alternative to the volatile dollar and on wednesday the long term vision of the ecu aseuropes common currency took a step nearer to becoming realitywhen belgium minted the worlds first ecu coin but economists say members such as west germany have so farblocked a second stage of development envisaged by the systemsfounding fathers exwest german chancellor helmut schmidt andformer french president valery giscard destaing under this phase originally due to have started two yearsafter the ems was set up decisionmaking was to have beentransferred from national governments and central banks to anautonomous european monetary fund but members have jealously guarded their sovereignty ineconomic and monetary matters the basic problem of the ems isthat governments are not prepared to make the quantum leap to asituation where certain decisions are taken in common said oneeconomist who has closely watched the systems development the result is that the ec is often divided over policy onthird currencies accentuating what the economists say is thesystems greatest weakness its vulnerability to a weak dollar over the past months as the us dollar plunged andinvestors moved into strong currencies the resulting sharprise of the west german mark severely strained the system more as the mark soared against the dollar it also rose againstems currencies less favoured by international investors and aswest germany last year refused to give in pressure from severalec partners and the united states to cut interest rates to slowthe marks rise the ems had to be realigned twice to easefinancial and trade strains within the community two months ago the mark and the dutch guilder were revaluedby three pct and the belgian and luxembourg francs by two pctagainst other currencies in the system the french francitalian lira the irish punt and danish crown another frustration has been britains failure to lend theems political support by keeping the pound still a major worldcurrency outside the system no change in the british governments attitude is expectedbefore the countrys next general elections due by mid meanwhile the systems last realignment the th since itwas set up prompted european finance ministers to ask the ecshighlysecretive monetary committee and committee of centralbank governors to come up with suggestions for reinforcing it their ideas are due to be unveiled when finance ministershold an informal meeting in belgium early next month but economists said the proposals are unlikely to involvemore than tinkering with technical details they are scepticalabout the chances for any fundamental change technical measures wont be enough to protect the emsagainst external factors such as dollar weakness for that wemust take the step forward to the institutional level said leode corel of kredietbanks economic research department economists say the systems fortunes now will dependlargely on the success of an agreement last month among majorindustrial nations to stabilise exchange rates if the dollarresumes its slide the ems could be in for more turbulence theypredict reuter
1,iran claims iraqi casualties in fighting london march an iranian military commander said iraqitroops suffered casualties in a weekold offensive byirans forces in the mountains of northeast iraq the iranian news agency irna quoted the commander in thekurdish border village of haj omran as saying nine iraqicounterattacks had been repulsed with heavy casualties he said iraq lost at least men killed or wounded andanother captured irna monitored by the britishbroadcasting corp said irans offensive into iraqi kurdistan is coupled withsupport for antiiraqi kurdish rebel operations in the region reuter
1,austria increases bond to mln australian dlrs london march the australian dollar eurobond launchedyesterday for the republic of austria has been increased to mln dlrs from the original mln credit suisse first bostonltd said as lead manager the five year transaction has a pct coupon and waspriced at pct reuter
0,amoskeag co amos sets quarterly new york march qtly div cts vs cts prior pay march record march five reuter
